客戶,品號,品名
8083851 Ca,A02-410-111,小T接頭(不可加螺帽)
8083851 Ca,F17-000-416,小切斷器
8083851 Ca,E26-999-412,公母針基保護蓋
8083851 Ca,E09-000-412-1,公針基蓋
8083851 Ca,C09-240-211,公轉式針基
8083851 Ca,D10-240-211,母針基
Ace Cathte,C09-279-211,公轉式針基
Ace Cathte,C09-410-211-1,公轉式針基
Ace Cathte,D10-279-211,母針基
Ace Cathte,D10-410-211,母針基
Ace Cathte,3M41459,兩件式組立
Amphenol S,712-86054-001,"Boot, CA ASM, Rev.07"
Amphenol S,712-86055-002,"Boot, Ther, RCPT, Rev.03"
Amsino Med,SB0068,FLL注射座
Amsino Med,D10-240-331,母針基
Amsino Med,D10-270-331,母針基
Amsino Med,D10-410-331,母針基
APS,SC0031,單T+蓋
APS,H00-111-131,螺帽-B
AseptiKits,C11-111-331,公母針基
ASOMEDICA,F18-999-61A,大夾緊器 (深灰)
ASOMEDICA,3M41459,兩件式組立
AtlasVet,SB0068,FLL注射座
Aureumaex,C09-410-211-1,公轉式針基
Aureumaex,D10-350-211,母針基
Aureumaex,SC0003,單T+蓋組立
Bard,RM5003037,"HUBER WING, CLEAR,"
Bard,88-109,Wings, EZ-3
Bard,B05-240-251,Y管 (PolyOne PVC)
BD,8003875,EXTENSION SET
BD,SA0185,三通+螺帽組立
BD,K08-200-251,三通型管
BD,A01-240-251,小T接頭(可加螺帽)
BD,SA0099,小T接頭(可加螺帽)
BD,SA0190,小U+螺帽
BD,K07-240-131,小U型管
BD,F17-999-41D,小切斷器 (開)
BD,C11-111-331,公母針基
BD,E09-000-416,公針基蓋
BD,SA0120,母針基連蓋組立
BD,G05-111-413,注射針筒蓋-有耳
BD,SB0085,長插針組立(黏管)
BD,SA0108,插袋針+蓋組立
BD,MDXE-012-11,輸液套延長管
BD,X3299AAM,輸液套延長管
BD,SA0100,雙公轉式針基
BD,D10-000-131,雙母針基
BICAKCILAR,SA0005,T+螺帽
Biometrix,MDXE-012-02,EXT-T L/L SET
